TITLE     = "Time Series Plot" 
VARIABLES = "Solution Time" 
"P[psf]" 
ZONE T="Time Series Plot Zone" 
STRANDID=0, SOLUTIONTIME=0 
I=18000, J=1, K=1, ZONETYPE=Ordered 
DATAPACKING=POINT 
DT=(SINGLE SINGLE ) 
-1.228381e-01, 
-1.228384e-01, 
-1.228382e-01, 
-1.228386e-01, 
-1.228385e-01, 
-1.228389e-01, 
-1.228387e-01, 
-1.228391e-01, 
-1.228390e-01, 
-1.228394e-01, 
-1.228394e-01, 
-1.228398e-01, 
-1.228397e-01, 
-1.228402e-01, 
-1.228402e-01, 
-1.228406e-01, 
-1.228405e-01, 
-1.228409e-01, 
-1.228408e-01, 
-1.228412e-01, 
-1.228411e-01, 
-1.228415e-01, 
-1.228414e-01, 
-1.228418e-01, 
-1.228417e-01, 
-1.228420e-01, 
-1.228419e-01, 
-1.228422e-01, 
-1.228419e-01, 
-1.228422e-01, 
-1.228420e-01, 
-1.228423e-01, 
-1.228421e-01, 
-1.228424e-01, 
-1.228422e-01, 
-1.228424e-01, 
-1.228421e-01, 
-1.228424e-01, 
-1.228421e-01, 
-1.228423e-01, 
-1.228422e-01, 
-1.228425e-01, 
-1.228423e-01, 
-1.228426e-01, 
-1.228424e-01, 
-1.228427e-01, 
-1.228426e-01, 
-1.228429e-01, 
-1.228427e-01, 
-1.228430e-01, 
-1.228429e-01, 
-1.228433e-01, 
-1.228431e-01, 
-1.228434e-01, 
-1.228433e-01, 
-1.228436e-01, 
-1.228435e-01, 
-1.228438e-01, 
-1.228437e-01, 
-1.228440e-01, 
-1.228438e-01, 
-1.228441e-01, 
-1.228439e-01, 
-1.228442e-01, 
-1.228440e-01, 
-1.228442e-01, 
-1.228440e-01, 
-1.228444e-01, 
-1.228441e-01, 
-1.228443e-01, 
-1.228441e-01, 
-1.228444e-01, 
-1.228442e-01, 
-1.228444e-01, 
-1.228441e-01, 
-1.228443e-01, 
-1.228439e-01, 
-1.228441e-01, 
-1.228438e-01, 
-1.228440e-01, 
-1.228437e-01, 
-1.228439e-01, 
-1.228436e-01, 
-1.228439e-01, 
-1.228436e-01, 
-1.228438e-01, 
-1.228436e-01, 
-1.228439e-01, 
-1.228437e-01, 
-1.228440e-01, 
-1.228438e-01, 
-1.228440e-01, 
-1.228438e-01, 
-1.228441e-01, 
-1.228438e-01, 
-1.228440e-01, 
-1.228437e-01, 
-1.228439e-01, 
-1.228437e-01, 
-1.228440e-01, 
-1.228438e-01, 
-1.228440e-01, 
-1.228437e-01, 
-1.228439e-01, 
-1.228437e-01, 
-1.228439e-01, 
-1.228436e-01, 
-1.228438e-01, 
-1.228435e-01, 
-1.228438e-01, 
-1.228435e-01, 
-1.228437e-01, 
-1.228435e-01, 
-1.228437e-01, 
-1.228434e-01, 
-1.228437e-01, 
-1.228434e-01, 
-1.228436e-01, 
-1.228434e-01, 
-1.228436e-01, 
-1.228434e-01, 
-1.228437e-01, 
-1.228434e-01, 
-1.228435e-01, 
-1.228433e-01, 
-1.228437e-01, 
-1.228435e-01, 
-1.228436e-01, 
-1.228433e-01, 
-1.228437e-01, 
-1.228434e-01, 
-1.228435e-01, 
-1.228431e-01, 
-1.228434e-01, 
-1.228431e-01, 
-1.228433e-01, 
-1.228430e-01, 
-1.228433e-01, 
-1.228429e-01, 
-1.228431e-01, 
-1.228427e-01, 
-1.228429e-01, 
-1.228426e-01, 
-1.228428e-01, 
-1.228424e-01, 
