TITLE     = "Time Series Plot"
VARIABLES = "Solution Time"
"P[psf]"
ZONE T="Time Series Plot Zone"
 STRANDID=0, SOLUTIONTIME=0
 I=18000, J=1, K=1, ZONETYPE=Ordered
 DATAPACKING=POINT
 DT=(SINGLE SINGLE )
 0.000000000E+00 -6.390230656E-01
 4.166666622E-05 -6.390242577E-01
 8.333333244E-05 -6.390242577E-01
 1.250000059E-04 -6.390256286E-01
 1.666666649E-04 -6.390256286E-01
 2.083333384E-04 -6.390268207E-01
 2.500000119E-04 -6.390268207E-01
 2.916666563E-04 -6.390280128E-01
 3.333333298E-04 -6.390277743E-01
 3.750000033E-04 -6.390287280E-01
 4.166666768E-04 -6.390282512E-01
 4.583333211E-04 -6.390289664E-01
 5.000000237E-04 -6.390283108E-01
 5.416666390E-04 -6.390288472E-01
 5.833333125E-04 -6.390280128E-01
 6.249999860E-04 -6.390283108E-01
 6.666666595E-04 -6.390272975E-01
 7.083333330E-04 -6.390275955E-01
 7.500000065E-04 -6.390264630E-01
 7.916666800E-04 -6.390267015E-01
 8.333333535E-04 -6.390255690E-01
 8.750000270E-04 -6.390258670E-01
 9.166666423E-04 -6.390248537E-01
 9.583333158E-04 -6.390252113E-01
 1.000000047E-03 -6.390243173E-01
 1.041666721E-03 -6.390247941E-01
 1.083333278E-03 -6.390241385E-01
 1.124999952E-03 -6.390247345E-01
 1.166666625E-03 -6.390240192E-01
 1.208333299E-03 -6.390247941E-01
 1.249999972E-03 -6.390243769E-01
 1.291666646E-03 -6.390252709E-01
 1.333333319E-03 -6.390248537E-01
 1.374999993E-03 -6.390258670E-01
 1.416666666E-03 -6.390257478E-01
 1.458333340E-03 -6.390271187E-01
 1.500000013E-03 -6.390272975E-01
 1.541666687E-03 -6.390289664E-01
 1.583333360E-03 -6.390295029E-01
 1.625000034E-03 -6.390313506E-01
 1.666666707E-03 -6.390318871E-01
 1.708333381E-03 -6.390340924E-01
 1.750000054E-03 -6.390349865E-01
 1.791666611E-03 -6.390370727E-01
 1.833333285E-03 -6.390379667E-01
 1.874999958E-03 -6.390399933E-01
 1.916666632E-03 -6.390404105E-01
 1.958333421E-03 -6.390420794E-01
 2.000000095E-03 -6.390422583E-01
 2.041666768E-03 -6.390435696E-01
 2.083333442E-03 -6.390433908E-01
 2.125000115E-03 -6.390443444E-01
 2.166666556E-03 -6.390438676E-01
 2.208333230E-03 -6.390445232E-01
 2.249999903E-03 -6.390436888E-01
 2.291666577E-03 -6.390441656E-01
 2.333333250E-03 -6.390433311E-01
 2.374999924E-03 -6.390438080E-01
 2.416666597E-03 -6.390432119E-01
 2.458333271E-03 -6.390441656E-01
 2.499999944E-03 -6.390438676E-01
 2.541666618E-03 -6.390450597E-01
 2.583333291E-03 -6.390450001E-01
 2.624999965E-03 -6.390463114E-01
 2.666666638E-03 -6.390463114E-01
 2.708333312E-03 -6.390476823E-01
 2.749999985E-03 -6.390477419E-01
 2.791666659E-03 -6.390491724E-01
 2.833333332E-03 -6.390494704E-01
 2.875000006E-03 -6.390511990E-01
 2.916666679E-03 -6.390515566E-01
 2.958333353E-03 -6.390532255E-01
 3.000000026E-03 -6.390534639E-01
 3.041666700E-03 -6.390548944E-01
 3.083333373E-03 -6.390548348E-01
 3.125000047E-03 -6.390561461E-01
 3.166666720E-03 -6.390562654E-01
 3.208333394E-03 -6.390576959E-01
 3.250000067E-03 -6.390578151E-01
 3.291666741E-03 -6.390593052E-01
